SECONDS,PID,VALUE,UNITS,interval,classification
0.0,Engine RPM,5857.0,rpm,0,Aggressive
0.0,Instant engine power (based on fuel consumption),1041.82366047529,hp,0,Aggressive
0.0,Vehicle speed,8.69919669132267,mph,0,Aggressive
0.6010000000023865,Engine RPM,6682.0,rpm,0,Aggressive
0.6010000000023865,Instant engine power (based on fuel consumption),1215.46093722117,hp,0,Aggressive
0.6010000000023865,Vehicle speed,56.5447784935974,mph,0,Aggressive
1.2030000000013388,Engine RPM,1220.0,rpm,0,Aggressive
1.2030000000013388,Instant engine power (based on fuel consumption),636.670014734899,hp,0,Aggressive
1.2030000000013388,Vehicle speed,131.109321562077,mph,0,Aggressive
1.805000000000291,Engine RPM,2588.0,rpm,0,Aggressive
1.805000000000291,Instant engine power (based on fuel consumption),1485.56336771477,hp,0,Aggressive
1.805000000000291,Vehicle speed,111.225443410483,mph,0,Aggressive
2.405000000006112,Engine RPM,2766.0,rpm,0,Aggressive
2.405000000006112,Vehicle speed,50.9524377634614,mph,0,Aggressive
2.4060000000026776,Instant engine power (based on fuel consumption),1852.13095195607,hp,0,Aggressive
3.007000000005064,Engine RPM,6412.0,rpm,1,Normal
3.007000000005064,Vehicle speed,120.546011294043,mph,1,Normal
3.00800000000163,Instant engine power (based on fuel consumption),1832.83792120653,hp,1,Normal
3.6090000000040163,Engine RPM,3884.0,rpm,1,Normal
3.6090000000040163,Instant engine power (based on fuel consumption),791.014260731239,hp,1,Normal
3.6090000000040163,Vehicle speed,70.8363159150561,mph,1,Normal
4.209000000002561,Engine RPM,1518.0,rpm,1,Normal
4.209000000002561,Instant engine power (based on fuel consumption),1176.87487572209,hp,1,Normal
4.209000000002561,Vehicle speed,118.060526525093,mph,1,Normal
4.811000000001513,Engine RPM,5285.0,rpm,1,Normal
4.811000000001513,Instant engine power (based on fuel consumption),848.893352979866,hp,1,Normal
4.811000000001513,Vehicle speed,5.59234073013601,mph,1,Normal
5.413000000000466,Engine RPM,3593.0,rpm,1,Normal
5.413000000000466,Instant engine power (based on fuel consumption),559.49789173673,hp,1,Normal
5.413000000000466,Vehicle speed,78.9141414141414,mph,1,Normal
6.014000000002852,Engine RPM,3134.0,rpm,2,Aggressive
6.014000000002852,Instant engine power (based on fuel consumption),1003.23759897621,hp,2,Aggressive
6.014000000002852,Vehicle speed,21.7479917283067,mph,2,Aggressive
6.028000000005704,Engine RPM,1563.0,rpm,2,Aggressive
6.028000000005704,Instant engine power (based on fuel consumption),1215.46093722117,hp,2,Aggressive
6.028000000005704,Vehicle speed,65.2439751849201,mph,2,Aggressive
6.629000000000815,Engine RPM,6157.0,rpm,2,Aggressive
6.629000000000815,Vehicle speed,131.109321562077,mph,2,Aggressive
7.232000000003609,Engine RPM,4780.0,rpm,2,Aggressive
7.232000000003609,Vehicle speed,52.195180147936,mph,2,Aggressive
7.233000000000175,Instant engine power (based on fuel consumption),1910.0100442047,hp,2,Aggressive
7.834000000002561,Engine RPM,3541.0,rpm,2,Aggressive
7.834000000002561,Instant engine power (based on fuel consumption),1311.92609096888,hp,2,Aggressive
7.834000000002561,Vehicle speed,86.9919669132267,mph,2,Aggressive
8.435000000004948,Instant engine power (based on fuel consumption),1138.288814223,hp,2,Aggressive
8.435000000004948,Vehicle speed,70.2149447228187,mph,2,Aggressive
9.036000000000058,Instant engine power (based on fuel consumption),1118.99578347346,hp,3,Slow
9.036000000000058,Vehicle speed,4.97096953789867,mph,3,Slow
9.627000000000407,Vehicle acceleration,-9.35461240182126,m/s²,3,Slow
9.637000000002445,Engine RPM,4585.0,rpm,3,Slow
9.637000000002445,Vehicle acceleration,-9.35461240182126,m/s²,3,Slow
9.637000000002445,Vehicle speed,1.864113576712,mph,3,Slow
9.63799999999901,Instant engine power (based on fuel consumption),405.15364574039,hp,3,Slow
10.239000000001397,Engine RPM,3274.0,rpm,3,Slow
10.239000000001397,Instant engine power (based on fuel consumption),964.65153747712,hp,3,Slow
10.239000000001397,Vehicle speed,120.546011294043,mph,3,Slow
10.838999999999942,Engine RPM,2436.0,rpm,3,Slow
10.838999999999942,Instant engine power (based on fuel consumption),848.893352979866,hp,3,Slow
10.838999999999942,Vehicle speed,114.332299371669,mph,3,Slow
11.440000000002328,Engine RPM,3351.0,rpm,3,Slow
11.440000000002328,Instant engine power (based on fuel consumption),733.135168482611,hp,3,Slow
11.440000000002328,Vehicle speed,88.2347092977014,mph,3,Slow
12.041000000004715,Engine RPM,4751.0,rpm,4,Normal
12.041000000004715,Instant engine power (based on fuel consumption),559.49789173673,hp,4,Normal
12.041000000004715,Vehicle speed,101.904875526923,mph,4,Normal
12.641999999999825,Engine RPM,6194.0,rpm,4,Normal
12.641999999999825,Instant engine power (based on fuel consumption),1466.27033696522,hp,4,Normal
12.641999999999825,Vehicle speed,85.1278533365147,mph,4,Normal
13.243000000002212,Engine RPM,3477.0,rpm,4,Normal
13.243000000002212,Instant engine power (based on fuel consumption),443.739707239475,hp,4,Normal
13.243000000002212,Vehicle speed,79.5355126063787,mph,4,Normal
13.844000000004598,Engine RPM,6537.0,rpm,4,Normal
13.844000000004598,Instant engine power (based on fuel consumption),1118.99578347346,hp,4,Normal
13.844000000004598,Vehicle speed,129.866579177603,mph,4,Normal
14.444999999999709,Engine RPM,1039.0,rpm,4,Normal
14.444999999999709,Vehicle speed,68.9722023383441,mph,4,Normal
15.046000000002095,Engine RPM,1125.0,rpm,5,Normal
15.046000000002095,Vehicle speed,47.8455818022747,mph,5,Normal
15.647000000004482,Engine RPM,5068.0,rpm,5,Normal
15.647000000004482,Instant engine power (based on fuel consumption),906.772445228493,hp,5,Normal
15.647000000004482,Vehicle speed,65.8653463771574,mph,5,Normal
16.247000000003027,Engine RPM,1102.0,rpm,5,Normal
16.247000000003027,Instant engine power (based on fuel consumption),1620.61458296156,hp,5,Normal
16.247000000003027,Vehicle speed,5.59234073013601,mph,5,Normal
16.85399999999936,Engine RPM,5577.0,rpm,5,Normal
16.85399999999936,Instant engine power (based on fuel consumption),1138.288814223,hp,5,Normal
16.85399999999936,Vehicle speed,34.1754155730534,mph,5,Normal
17.455000000001746,Engine RPM,5043.0,rpm,5,Normal
17.455000000001746,Vehicle speed,75.1859142607174,mph,5,Normal
17.456000000005588,Instant engine power (based on fuel consumption),1543.44245996339,hp,5,Normal
18.05800000000454,Engine RPM,2616.0,rpm,6,Normal
18.05800000000454,Instant engine power (based on fuel consumption),1446.97730621568,hp,6,Normal
18.05800000000454,Vehicle speed,126.138352024179,mph,6,Normal
18.65899999999965,Engine RPM,6028.0,rpm,6,Normal
18.65899999999965,Instant engine power (based on fuel consumption),443.739707239475,hp,6,Normal
18.65899999999965,Vehicle speed,21.7479917283067,mph,6,Normal
19.260000000002037,Engine RPM,5603.0,rpm,6,Normal
19.260000000002037,Vehicle speed,15.5342798059333,mph,6,Normal
19.262000000002445,Instant engine power (based on fuel consumption),1369.80518321751,hp,6,Normal
19.86300000000483,Engine RPM,2624.0,rpm,6,Normal
19.86300000000483,Vehicle speed,33.554044380816,mph,6,Normal
20.463999999999942,Engine RPM,5694.0,rpm,6,Normal
20.463999999999942,Instant engine power (based on fuel consumption),887.479414478951,hp,6,Normal
20.463999999999942,Vehicle speed,128.002465600891,mph,6,Normal
21.06500000000233,Engine RPM,2164.0,rpm,7,Normal
21.06500000000233,Vehicle speed,132.352063946552,mph,7,Normal
21.66700000000128,Engine RPM,4556.0,rpm,7,Normal
21.66700000000128,Instant engine power (based on fuel consumption),154.344245996339,hp,7,Normal
21.66700000000128,Vehicle speed,114.332299371669,mph,7,Normal
22.268000000003667,Engine RPM,1102.0,rpm,7,Normal
22.268000000003667,Vehicle speed,34.1754155730534,mph,7,Normal
22.269000000000233,Instant engine power (based on fuel consumption),1601.32155221202,hp,7,Normal
22.87000000000262,Engine RPM,5204.0,rpm,7,Normal
22.87000000000262,Instant engine power (based on fuel consumption),1852.13095195607,hp,7,Normal
22.87000000000262,Vehicle speed,83.2637397598027,mph,7,Normal
23.470000000001164,Instant engine power (based on fuel consumption),945.358506727578,hp,7,Normal
23.470000000001164,Vehicle speed,1.864113576712,mph,7,Normal
24.07100000000355,Engine RPM,1590.0,rpm,8,Slow
24.07100000000355,Instant engine power (based on fuel consumption),1369.80518321751,hp,8,Slow
24.07100000000355,Vehicle speed,13.6701662292213,mph,8,Slow
24.672000000005937,Engine RPM,2806.0,rpm,8,Slow
